repo,pr_id,pr_title,comment_id,created_date,file_path,line_from,line_to,severity,comment_text,reactions_positive,reactions_negative,reactions_other,reactions_detail,replies_count,replies
MCPN/cpnadminservice,429,MCPN-1263: Update data type to prevent rounding of identifiers,1143299,2026-03-30,src/main/java/ru/spasibosberbank/cpnadminservice/mapper/impl/OrderAdminMapper.java,53,53,NORMAL,"**Suggestion:** Consider initializing the `offerIds` list with an initial capacity to improve performance if the typical size is known. This can reduce internal array resizing operations. [general, importance: 7]


```diff
-List<String> offerIds = new ArrayList<>();
+List<String> offerIds = new ArrayList<>(itemEntities.size());
```",1,0,0,"{""thumbsup"": 1}",1,"[{""author"": ""agtolstov"", ""text"": ""игнорируем, так как придет только 1 элемент"", ""created_date"": 1774862114710}]"
MCPN/cpnadminservice,429,MCPN-1263: Update data type to prevent rounding of identifiers,1143298,2026-03-30,,,,NORMAL,"## PR Reviewer Guide 🔍

Here are some key observations to aid the review process:

### ⏱️ Estimated effort to review: 2 🔵🔵⚪⚪⚪

### 🧪 No relevant tests

### 🔒 No security concerns identified

### ⚡ Recommended focus areas for review

#### 
[**Data Type Change Impact**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/cpnadminservice/pull-requests/429/diff#src%2Fmain%2Fjava%2Fru%2Fspasibosberbank%2Fcpnadminservice%2Fmapper%2Fimpl%2FOrderAdminMapper.java?t=53)

The change from `List<Long>` to `List<String>` for `offerIds` may impact how these IDs are used downstream. Verify that all consumers of this DTO can handle string representations of IDs.



[**DTO Field Type Modification**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/cpnadminservice/pull-requests/429/diff#src%2Fmain%2Fjava%2Fru%2Fspasibosberbank%2Fcpnadminservice%2Fmodel%2Fdto%2Fadmin%2Fresponse%2FOrderAdminDTO.java?t=37)

Changing the `offerIds` field type in the DTO from `Long` to `String` could affect serialization/deserialization and compatibility with existing APIs or services expecting numeric IDs.



",1,0,0,"{""thumbsup"": 1}",1,"[{""author"": ""agtolstov"", ""text"": ""проверили - не влияет"", ""created_date"": 1774862165126}]"
MCPN/promocodestorage,53,Bug/MCPN-1092: add cold ttl,1142861,2026-03-27,src/main/java/ru/spasibo/cpn/promocodestorage/task/FillCacheFreeMarkingRunnable.java,89,89,NORMAL,"**Suggestion:** The `coldTtl` parameter is passed directly to `coldBox.pop()`, but there's no validation to ensure `coldTtl` is non-negative. A negative TTL could cause unexpected behavior in downstream systems or database queries. Validate `coldTtl` before using it.
Add a check to ensure `coldTtl >= 0` and handle invalid values appropriately. [general, importance: 7]


```diff
-tmpReserve = coldBox.pop(product, delta, coldTtl, newKey, false);
+if (coldTtl < 0) {
+            log.warn(""Invalid coldTtl value: {}, defaulting to 0"", coldTtl);
+            coldTtl = 0;
+        }
+        tmpReserve = coldBox.pop(product, delta, coldTtl, newKey, false);
```",0,1,0,"{""-1"": 1}",0,[]
MCPN/promocodestorage,53,Bug/MCPN-1092: add cold ttl,1142860,2026-03-27,src/main/java/ru/spasibo/cpn/promocodestorage/service/reserve/driver/PostgreSQLDriver.java,53,53,NORMAL,"**Suggestion:** The code catches a generic `Exception` and logs it, but then proceeds as if the operation succeeded. If `taskManager.reserve()` fails, `markings` may still be empty, leading to incorrect behavior. Ensure that the method returns early or handles the failure case explicitly when `strictQuantity` is true.
Consider throwing an exception or returning `null` immediately after catching the error to prevent proceeding with an invalid state. [possible issue, importance: 9]


```diff
 if (markings.isEmpty() && strictQuantity) {
             String curKey = productKeysStore.getCurrent(key);
 
             try {
                 taskManager.reserve(curKey, count, ttl, code, true).get();
-            } catch (Exception ignored) {
-                log.error(ignored.getMessage(), ignored);
+            } catch (Exception e) {
+                log.error(""Failed to reserve with strict quantity"", e);
                 return null;
             }
 
             markings = markingReserveRepository.getIdByReservedKey(code);
+            if (markings.isEmpty()) {
+                return null; // Explicitly handle empty markings after retry
+            }
         }
```",1,0,0,"{""thumbsup"": 1}",1,"[{""author"": ""agtolstov"", ""text"": ""Частично принято"", ""created_date"": 1774615789498}]"
MCPN/promocodestorage,53,Bug/MCPN-1092: add cold ttl,1142859,2026-03-27,src/main/java/ru/spasibo/cpn/promocodestorage/service/impl/MarkingServiceImpl.java,120,120,NORMAL,"**Suggestion:** The `isUpdate` flag controls which repository method is called, but there's no validation that `productId` is a valid UUID when `isUpdate` is false. This could lead to a runtime `IllegalArgumentException` if `productId` is not a valid UUID. Add a check or handle the potential exception to prevent unexpected failures.
Consider wrapping `UUID.fromString(productId)` in a try-catch block to gracefully handle invalid UUIDs. [possible issue, importance: 8]


```diff
 if (isUpdate) rows = markingRepository.reserveByKeyStore(productId, limit, code, Instant.now().plusSeconds(ttl));
-        else rows = markingRepository.reserve(UUID.fromString(productId), limit, code, Instant.now().plusSeconds(ttl));
+        else {
+            try {
+                rows = markingRepository.reserve(UUID.fromString(productId), limit, code, Instant.now().plusSeconds(ttl));
+            } catch (IllegalArgumentException e) {
+                log.error(""Invalid UUID format for productId: {}"", productId, e);
+                rows = 0; // or handle as appropriate
+            }
+        }
```",1,0,0,"{""thumbsup"": 1}",0,[]
MCPN/promocodestorage,53,Bug/MCPN-1092: add cold ttl,1142855,2026-03-27,,,,NORMAL,"## PR Reviewer Guide 🔍

Here are some key observations to aid the review process:

### ⏱️ Estimated effort to review: 4 🔵🔵🔵🔵⚪

### 🧪 No relevant tests

### 🔒 No security concerns identified

### ⚡ Recommended focus areas for review

#### 
[**Logic Error**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/promocodestorage/pull-requests/53/diff#src%2Fmain%2Fjava%2Fru%2Fspasibo%2Fcpn%2Fpromocodestorage%2Fservice%2Freserve%2Fdriver%2FPostgreSQLDriver.java?t=53)

The logic for handling `strictQuantity` may lead to incorrect behavior when the initial reservation returns an empty list. It attempts another reservation using `productKeysStore.getCurrent(key)` without verifying if `curKey` is null, potentially causing a NullPointerException or incorrect data access.



[**Potential Data Inconsistency**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/promocodestorage/pull-requests/53/diff#src%2Fmain%2Fjava%2Fru%2Fspasibo%2Fcpn%2Fpromocodestorage%2Ftask%2FFillCacheFreeMarkingRunnable.java?t=122)

The TTL used for saving `MarkingReservedTmpModel` is based on `coldTtl`, whereas previously it used the regular `ttl`. Ensure this change aligns with the intended lifecycle management of temporary reservations.



[**Resource Management**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/promocodestorage/pull-requests/53/diff#src%2Fmain%2Fjava%2Fru%2Fspasibo%2Fcpn%2Fpromocodestorage%2Fservice%2Freserve%2Fdriver%2FPostgreSQLDriverTaskManager.java?t=31)

Creating a new `ThreadPoolConfig` with `Integer.MAX_VALUE` for `queueCapacity` can lead to resource exhaustion under high load. Consider using a bounded queue to prevent out-of-memory errors.



",0,0,0,{},0,[]
BILT/fde-dispatcher,56,Feature/BILT-527 epic fde dispatcher,1141155,2026-03-24,,,,NORMAL,"### Question: 
hi

### Answer:
Hello! How can I assist you today with Qodo Merge or PR-Agent?

#### Relevant Sources:

> - https://qodo-merge-docs.qodo.ai//index#overview
",0,0,0,{},0,[]
SBLOOM/mediaplanner,71,SBLOOM-139,1141080,2026-03-24,qodo-trigger/Jenkinsfile-trigger.groovy,124,124,NORMAL,"**Suggestion:** The webhook URL is hardcoded. Consider making this configurable via a parameter or environment variable to improve flexibility across different environments (test, staging, production).
Also, consider adding error handling for non-successful responses (e.g., 400, 500) to log more detailed information about failures. [general, importance: 8]


```diff
-def response = httpRequest(
-                         url: 'https://steel-bloom-test.spasibotest.ru/webhook/webhook',
-                         httpMode: 'POST',
-                         contentType: 'APPLICATION_JSON',
-                         requestBody: jsonPayload,
-                         timeout: 30,
-                         validResponseCodes: '200,201,202,204,400,500'
-                 )
+def qodoWebhookUrl = env.QODO_WEBHOOK_URL ?: 'https://steel-bloom-test.spasibotest.ru/webhook/webhook'
+                def response = httpRequest(
+                        url: qodoWebhookUrl,
+                        httpMode: 'POST',
+                        contentType: 'APPLICATION_JSON',
+                        requestBody: jsonPayload,
+                        timeout: 30,
+                        validResponseCodes: '200,201,202,204,400,500'
+                )
```",0,0,0,{},0,[]
SBLOOM/mediaplanner,71,SBLOOM-139,1141079,2026-03-24,,,,NORMAL,"### Question: 
tell me about this pr

### Answer:
Based on the documentation, when you ask ""tell me about this PR,"" the most relevant tool is the **`describe`** tool. This tool scans the PR code changes and generates a comprehensive description including:

- **Title**: An AI-generated title (optional)
- **Type**: Classification of the PR (e.g., Bug fix, Enhancement)
- **Summary**: A concise overview of the changes
- **Walkthrough**: A detailed breakdown of modifications per file
- **Labels**: Custom or default labels for the PR
- **Diagram**: A Mermaid sequence diagram of component interactions (optional)

### How to Use:
- **Manual Trigger**: Comment `/describe` on the PR.
- **Automatic Trigger**: Configure via `pr_commands` in your settings to run automatically on PR creation.

### Key Features:
- Preserves original user descriptions.
- Supports custom labels via configuration or repo settings.
- Optionally generates a PR diagram for better visualization.

This tool provides a quick, structured understanding of the PR's purpose and changes.

#### Relevant Sources:

> - https://qodo-merge-docs.qodo.ai/tools/describe#overview
> - https://qodo-merge-docs.qodo.ai/index#features
> - https://qodo-merge-docs.qodo.ai/tools/describe#example-usage
",0,0,0,{},0,[]
SBLOOM/mediaplanner,71,SBLOOM-139,1141077,2026-03-24,,,,NORMAL,"## PR Reviewer Guide 🔍

Here are some key observations to aid the review process:

### ⏱️ Estimated effort to review: 4 🔵🔵🔵🔵⚪

### 🧪 PR contains tests

### 🔒 No security concerns identified

### ⚡ Recommended focus areas for review

#### 
[**Event Modification Logic**](https://sberworks.ru/bitbucket-ci/projects/SBLOOM/repos/mediaplanner/pull-requests/71/diff#qodo-trigger%2FJenkinsfile-trigger.groovy?t=69)

The logic for modifying the event when Qodo is added as a reviewer may lead to unexpected behavior. Changing the eventKey to 'pr:opened' and removing 'addedReviewers' and 'removedReviewers' fields could cause downstream systems to misinterpret the original intent of the event. Verify that this transformation is safe and correctly handled by the receiving system.



[**Error Handling**](https://sberworks.ru/bitbucket-ci/projects/SBLOOM/repos/mediaplanner/pull-requests/71/diff#qodo-trigger%2FJenkinsfile-trigger.groovy?t=124)

The pipeline does not seem to have explicit error handling for cases where the httpRequest to the Qodo webhook fails beyond logging the response status. Consider adding more robust error handling, such as retries or notifications, to ensure failures are properly managed.



[**Duplicate Logic**](https://sberworks.ru/bitbucket-ci/projects/SBLOOM/repos/mediaplanner/pull-requests/71/diff#qodo%2FJenkinsfile-trigger.groovy?t=1)

This file appears to be a duplicate or older version of the Jenkinsfile in the qodo-trigger directory. Having duplicate pipeline definitions can lead to maintenance issues and confusion. Ensure that only one canonical version exists and the other is removed.



",0,0,0,{},0,[]
SBLOOM/mediaplanner,59,added Jenkinsfile,1139544,2026-03-19,,,,NORMAL,"## PR Reviewer Guide 🔍

Here are some key observations to aid the review process:

### ⏱️ Estimated effort to review: 4 🔵🔵🔵🔵⚪

### 🧪 No relevant tests

### 🔒 Security concerns

**Sensitive information exposure:**
 The Jenkinsfile transmits PR details, including comments and author information, to an external webhook URL. If this endpoint is not secure or becomes compromised, sensitive project data could be exposed. Additionally, the lack of input sanitization increases the risk of data injection attacks through user comments.

### ⚡ Recommended focus areas for review

#### 
[**Security Vulnerability**](https://sberworks.ru/bitbucket-ci/projects/SBLOOM/repos/mediaplanner/pull-requests/59/diff#qodo%2FJenkinsfile-trigger?t=152)

The Jenkinsfile sends a webhook to an external URL (https://steel-bloom-test.spasibotest.ru/webhook/webhook) containing potentially sensitive PR information and user comments. This could expose internal data if the target endpoint is compromised or not properly secured. Ensure the target URL is trusted and consider sanitizing or encrypting sensitive data before transmission.



[**Input Sanitization**](https://sberworks.ru/bitbucket-ci/projects/SBLOOM/repos/mediaplanner/pull-requests/59/diff#qodo%2FJenkinsfile-trigger?t=212)

The `extractCommand` function and JSON payload construction directly embed user-provided comment text without proper sanitization. This can lead to injection vulnerabilities if the comment contains malicious content. Validate and sanitize all user inputs, especially those used in JSON construction or command processing.



[**Hardcoded Fallback Values**](https://sberworks.ru/bitbucket-ci/projects/SBLOOM/repos/mediaplanner/pull-requests/59/diff#qodo%2FJenkinsfile-trigger?t=106)

The JSON payload uses hardcoded fallback values for PR details (e.g., PR ID 241, branch 'sbloom-test-with-kafka'). This can cause incorrect behavior or confusion during testing/execution. Consider making these values configurable or ensuring they are clearly marked as test defaults.



",0,0,0,{},0,[]
SBLOOM/mediaplanner,59,added Jenkinsfile,1139543,2026-03-19,qodo/Jenkinsfile-trigger,212,212,NORMAL,"**Suggestion:** Proposed documentation
```suggestion
/**
 * Извлекает команду с аргументами из текста комментария.
 *
 * @param comment Текст комментария
 * @param commandName Название команды для поиска
 * @return Строка с командой и аргументами или только название команды
 */
def extractCommand(String comment, String commandName) {
```",0,0,0,{},0,[]
SBLOOM/mediaplanner,59,added Jenkinsfile,1139542,2026-03-19,qodo/Jenkinsfile-trigger,1,1,NORMAL,"**Suggestion:** Proposed documentation
```suggestion
/**
 * Jenkins Pipeline для обработки команд Qodo из комментариев к Pull Request.
 *
 * Этот pipeline запускается при получении webhook и анализирует параметры,
 * переданные через комментарий к PR. Поддерживаются следующие команды:
 * - /improve - улучшение кода
 * - /review - ревью кода
 * - /add_docs - добавление документации
 * - /describe - описание изменений
 *
 * Pipeline состоит из трех основных этапов:
 * 1. Debug Parameters - анализ и логирование входных параметров
 * 2. Send Webhook with command - отправка команды в Qodo webhook
 * 3. Skip - No Qodo Command - пропуск выполнения при отсутствии команд
 */
pipeline {
```",0,0,0,{},0,[]
BILT/fde-dispatcher,56,Feature/BILT-527 epic fde dispatcher,1134672,2026-03-11,,,,NORMAL,Failed to generate code suggestions for PR,0,0,0,{},0,[]
BILT/fde-dispatcher,56,Feature/BILT-527 epic fde dispatcher,1133139,2026-03-05,,,,NORMAL,"## PR Reviewer Guide 🔍

Here are some key observations to aid the review process:

### ⏱️ Estimated effort to review: 4 🔵🔵🔵🔵⚪

### 🧪 PR contains tests

### 🔒 No security concerns identified

### ⚡ Recommended focus areas for review

#### 
[**Missing default values for logging levels**](https://sberworks.ru/bitbucket-ci/projects/BILT/repos/fde-dispatcher/pull-requests/56/diff#src%2Fmain%2Fresources%2Fapplication.yaml?t=98)

Default logging levels are not specified for all components. It is recommended to specify them explicitly.



[**Missing default values for logging levels**](https://sberworks.ru/bitbucket-ci/projects/BILT/repos/fde-dispatcher/pull-requests/56/diff#src%2Ftest%2Fresources%2Fapplication-test.yml?t=53)

Default logging levels are not specified for all components. It is recommended to specify them explicitly.



",1,0,0,"{""thumbsup"": 1}",0,[]
BILT/fde-dispatcher,56,Feature/BILT-527 epic fde dispatcher,1133136,2026-03-05,,,,NORMAL,"## PR Reviewer Guide 🔍

Here are some key observations to aid the review process:

### ⏱️ Estimated effort to review: 4 🔵🔵🔵🔵⚪

### 🧪 PR contains tests

### 🔒 No security concerns identified

### ⚡ Recommended focus areas for review

#### 
[**Missing default values for DB_HOST, DB_PORT, DB_NAME, DB_SCHEMA**](https://sberworks.ru/bitbucket-ci/projects/BILT/repos/fde-dispatcher/pull-requests/56/diff#src%2Fmain%2Fresources%2Fapplication.yaml?t=7)

Default values for these database-related settings are not specified, which could lead to runtime failures if they are not configured properly.



[**Missing default values for DB_HOST, DB_PORT, DB_NAME, DB_SCHEMA**](https://sberworks.ru/bitbucket-ci/projects/BILT/repos/fde-dispatcher/pull-requests/56/diff#src%2Ftest%2Fresources%2Fapplication-test.yml?t=6)

Default values for these database-related settings are not specified, which could lead to runtime failures if they are not configured properly.



[**Potential typo in ""Shpargalka""**](https://sberworks.ru/bitbucket-ci/projects/BILT/repos/fde-dispatcher/pull-requests/56/diff#CHEATSET.md?t=1)

The term ""Shpargalka"" appears to be misspelled as ""Шпаргалка"". It would be better to use the correct spelling.



",1,0,0,"{""thumbsup"": 1}",0,[]
BILT/fde-dispatcher,56,Feature/BILT-527 epic fde dispatcher,1133134,2026-03-05,,,,NORMAL,Failed to generate code suggestions for PR,0,0,0,{},0,[]
BILT/fde-dispatcher,56,Feature/BILT-527 epic fde dispatcher,1133129,2026-03-05,src/main/java/ru/spasibo/bilt/fdedispatcher/observability/tracing/CorrelationIdHolder.java,38,38,NORMAL,"**Suggestion:** The current implementation may return inconsistent results if both `CORRELATION_ID` and `MDC` contain different values. Prioritize one source or synchronize them properly to ensure consistency across logging contexts.
Ensure that the correlation ID retrieved is consistent regardless of where it was initially stored. [general, importance: 8]


```diff
 public static String get() {
     String id = CORRELATION_ID.get();
     if (id == null) {
         id = MDC.get(CorrelationIdInterceptor.MDC_CORRELATION_ID);
+        if (id != null) {
+            CORRELATION_ID.set(id); // Synchronize ThreadLocal with MDC
+        }
     }
     return id;
 }
```",0,0,0,{},0,[]
